,Airline,Source,Destination,Total_Stops,Additional_Info,Price,day_of_journey,month_of_journey,year_of_journey,Arrival_Hour,Arrival_Min,Dep_Hour,Dep_Min,Duration_Total_Mins
0,IndiGo,Banglore,New Delhi,0,No info,3897,24,3,2019,1,10,22,20,170
1,Air India,Kolkata,Banglore,2,No info,7662,1,5,2019,13,15,5,50,445
2,Jet Airways,Delhi,Cochin,2,No info,13882,9,6,2019,4,25,9,25,1140
3,IndiGo,Kolkata,Banglore,1,No info,6218,12,5,2019,23,30,18,5,325
4,IndiGo,Banglore,New Delhi,1,No info,13302,1,3,2019,21,35,16,50,285
5,SpiceJet,Kolkata,Banglore,0,No info,3873,24,6,2019,11,25,9,0,145
6,Jet Airways,Banglore,New Delhi,1,In-flight meal not included,11087,12,3,2019,10,25,18,55,930
7,Jet Airways,Banglore,New Delhi,1,No info,22270,1,3,2019,5,5,8,0,1265
8,Jet Airways,Banglore,New Delhi,1,In-flight meal not included,11087,12,3,2019,10,25,8,55,1530
9,Multiple carriers,Delhi,Cochin,1,No info,8625,27,5,2019,19,15,11,25,470
10,Air India,Delhi,Cochin,1,No info,8907,1,6,2019,23,0,9,45,795
11,IndiGo,Kolkata,Banglore,0,No info,4174,18,4,2019,22,55,20,20,155
12,Air India,Chennai,Kolkata,0,No info,4667,24,6,2019,13,55,11,40,135
13,Jet Airways,Kolkata,Banglore,1,In-flight meal not included,9663,9,5,2019,9,20,21,10,730
14,IndiGo,Kolkata,Banglore,0,No info,4804,24,4,2019,19,50,17,15,155
15,Air India,Delhi,Cochin,2,No info,14011,3,3,2019,19,15,16,40,1595
16,SpiceJet,Delhi,Cochin,1,No info,5830,15,4,2019,13,15,8,45,270
17,Jet Airways,Delhi,Cochin,1,In-flight meal not included,10262,12,6,2019,12,35,14,0,1355
18,Air India,Delhi,Cochin,2,No info,13381,12,6,2019,19,15,20,15,1380
19,Jet Airways,Delhi,Cochin,1,In-flight meal not included,12898,27,5,2019,12,35,16,0,1235
20,GoAir,Delhi,Cochin,1,No info,19495,6,3,2019,19,20,14,10,310
21,Air India,Banglore,New Delhi,1,No info,6955,21,3,2019,13,20,22,0,920
22,IndiGo,Banglore,Delhi,0,No info,3943,3,4,2019,6,50,4,0,170
23,IndiGo,Banglore,Delhi,0,No info,4823,1,5,2019,21,50,18,55,175
24,Jet Airways,Kolkata,Banglore,1,In-flight meal not included,7757,6,5,2019,8,15,18,55,800
25,Jet Airways,Delhi,Cochin,2,No info,13292,9,6,2019,12,35,21,25,910
26,IndiGo,Delhi,Cochin,1,No info,8238,1,6,2019,3,35,21,50,345
27,GoAir,Delhi,Cochin,1,No info,7682,15,5,2019,12,55,7,0,355
28,Vistara,Banglore,Delhi,0,No info,4668,18,6,2019,12,35,9,45,170
29,Vistara,Chennai,Kolkata,0,No info,3687,15,6,2019,9,20,7,5,135
30,Vistara,Chennai,Kolkata,0,No info,3687,18,6,2019,9,20,7,5,135
31,Air India,Kolkata,Banglore,2,No info,13227,1,5,2019,23,15,9,50,805
32,IndiGo,Banglore,Delhi,0,No info,4423,6,4,2019,6,50,4,0,170
33,Jet Airways,Delhi,Cochin,2,In-flight meal not included,10919,15,6,2019,12,35,14,35,1320
34,Jet Airways,Delhi,Cochin,1,In-flight meal not included,12373,18,5,2019,12,35,7,5,330
35,IndiGo,Delhi,Cochin,1,No info,5894,27,6,2019,21,0,10,35,625
36,SpiceJet,Kolkata,Banglore,1,No info,4649,21,5,2019,20,20,15,5,315
37,Air India,Kolkata,Banglore,0,No info,6245,18,5,2019,16,45,14,15,150
